word,lemma,sentence,start_time,end_time,sentence_previous,sentence_next,occurrences,words,lemmas,word_translation,sentence_translation
cocaína,cocaína,"Pila de cocaína, sabes o que é?",1758580,1761900,"('Nunca viste o Jogos de Prazer?',)","('Andas a cheirar essa merda e não consegues levantar a blica.',)",6,"['Pila', 'cocaína', 'sabes']","['pila', 'cocaína', 'Sabes']",cocaine,"A pile of cocaine, do you know what it is?"
caralho,caralho,"Calma lá, caralho.",1291180,1292900,"(' ',)","('Patrão...',)",14,"['Calma', 'caralho']","['calma', 'caralho']",damn,"Hold on, damn."
gente,gente,E gente perigosa.,2260740,2262460,"('Mais cedo ou mais tarde, vêm procurá-la.',)","('Porque é que uns têm direito a tudo e outros não têm direito a nada?',)",4,"['gente', 'perigosa']","['gente', 'perigoso']",people,And people are dangerous.
daqui,de aqui,Desanda daqui para fora ou rebento-te a boca!,1301820,1304260,"('fodia-te a boca toda, ó filho da puta!',)","('Sai daqui!',)",4,"['Desanda', 'daqui', 'rebento-te', 'boca']","['Desanda', 'de aqui', 'rebento-te', 'boca']",from here,Get out of here or I'll punch you in the mouth!
fila,fila,"Uma fila, queres tu dizer.",306180,308700,"('Mas não é assim que funciona, há uma bicha.',)","('Bom...',)",3,"['fila', 'queres']","['fila', 'quere']",line,"A line, you mean."
queres,quer,"Não queres, não queres, tu é que sabes.",1151860,1155220,"('Ó Eduardo... Queres, queres.',)","(' ',)",3,"['queres', 'queres', 'sabes']","['quer', 'querer', 'sabe']",want,"You don't want, you don't want, it's up to you."
vou,ir,Não vou morrer afogado por causa da merda da cocaína!,993540,997940,"('Experimenta e vais parar ao mar!',)","('Se a droga vai parar ao mar, nós morreremos em terra!',)",3,"['vou', 'morrer', 'afogado', 'causa', 'merda', 'cocaína']","['ir', 'morrer', 'afogar', 'causa', 'merda', 'cocaína']",going,I'm not going to die drowned because of the damn cocaine!
costa,Costa,em vários pontos da costa norte de São Miguel,1589780,1593140,"('Dezenas de quilos de cocaína apareceram esta tarde',)","('.',)",4,"['costa', 'norte', 'Miguel']","['Costa', 'norte', 'Miguel']",coast,in several points of the north coast of São Miguel
mundo,mundo,Em que mundo é que essa tua história acaba,2308740,2311180,"('Já te levaram ao cinema?',)","('com um E viveram felizes para sempre?',)",4,"['mundo', 'história', 'acaba']","['mundo', 'história', 'acabar']",world,In which world does your story end?
pai,pai,O meu pai não vê um palmo à frente do nariz.,2412820,2415260,"('O meu pai...',)","('Foda-se, nunca ninguém me deu nada na vida, caralho.',)",5,"['pai', 'vê', 'palmo', 'frente', 'nariz']","['pai', 'ver', 'palmo', 'frente', 'nariz']",father,My father can't see a hand's breadth in front of his nose.
operação,operação,A operação estava marcada para ontem.,440900,443140,"('Não são só uns números.',)","('Mas na carta diz 5 de junho de 2001.',)",3,"['operação', 'marcada']","['operação', 'marcado']",operation,The operation was scheduled for yesterday.
hoje,hoje,- Mas na carta diz que é hoje.,447180,451420,"('- Pois, mas no sistema diz que era ontem.',)","('Olhe, não sei.',)",3,"['carta', 'hoje']","['carta', 'hoje']",today,But the letter says it's today.
merda,merda,"Sabes que essa merda encolhe a blica, Carlinhos?",1751940,1754380,"('Mas está com o Rafael!',)","('Hã?',)",9,"['Sabes', 'merda', 'encolhe', 'blica', 'Carlinhos']","['Sabes', 'merda', 'encolhe', 'Blica', 'Carlinhos']",crap,"Do you know that crap shrinks the blica, Carlinhos?"
parar,parar,Como veio aqui parar e de onde veio não interessa.,1801300,1805260,"('A corrente trouxe-a.',)","('Interessa que está aqui!',)",4,"['veio', 'parar', 'veio', 'interessa']","['vir', 'parar', 'vir', 'interessar']",stop,How you got here and where you came from don't matter.
droga,droga,"Se a droga vai parar ao mar, nós morreremos em terra!",997940,1001100,"('Não vou morrer afogado por causa da merda da cocaína!',)","('Estás a perceber, foda-se?',)",4,"['droga', 'parar', 'mar', 'morreremos', 'terra']","['droga', 'parar', 'mar', 'morrer', 'terra']",drug,"If the drug ends up in the sea, we will die on land!"
algum,algum,Sou algum miúdo para me pores a mijar?,1632620,1636420,"('-',)","('- Vá, está tudo bem.',)",3,"['algum', 'miúdo', 'pores', 'mijar']","['algum', 'miúdo', 'por', 'mijar']",any,Am I some kid for you to make me pee?
Rabo,Rabo,"Se Rabo de Peixe aparecia na televisão,",1368300,1370260,"('e só comiam as caudas com espinhas.',)","('mostravam-nos sempre como cidadãos de terceira categoria.',)",6,"['Rabo', 'Peixe', 'aparecia', 'televisão']","['Rabo', 'Peixe', 'aparecer', 'televisão']",Fish tail,"If Fish Tail appeared on television,"
Peixe,Peixe,O segundo melhor cu de Rabo de Peixe.,2497980,2500340,"(' ',)","('O que foi?',)",7,"['melhor', 'cu', 'Rabo', 'Peixe']","['bom', 'cu', 'Rabo', 'Peixe']",Fish,The second best ass in Rabo de Peixe.
contigo,contigo,estou a falar contigo.,2330900,2332820,"('Sílvia,',)","('Queres?',)",3,"['falar', 'contigo']","['falar', 'contigo']",with you,I am talking with you.
podemos,poder,"- Não podemos ir à Polícia, caralho!",2604540,2607940,"('- Dizemos que foi um acidente.',)","('Com a puta da cocaína que puseram hoje.',)",3,"['podemos', 'Polícia', 'caralho']","['poder', 'Polícia', 'caralho']",we can,"We can't go to the police, damn it!"
sair,sair,Só vai sair depois de ser cruzada com um cão de fila.,1278100,1281660,"('Ó Sr. Doutor, esta cadela não vai sair daqui.',)","('Dê-lhe a cadela.',)",3,"['sair', 'cruzada', 'cão', 'fila']","['sair', 'cruzar', 'cão', 'fila']",,
Vamos,ir,Vamos dizer que matámos um turista italiano?,2620260,2623260,"('Vamos à Polícia.',)","('Dizemos que foi um acidente.',)",4,"['Vamos', 'matámos', 'turista', 'italiano']","['ir', 'matár', 'turista', 'italiano']",Let's,Let's say we killed an Italian tourist?
cão,cão,Este cão de fila é de quem?,1253820,1256540,"('Coisinha tão bonita...',)","('É minha a cadela.',)",3,"['cão', 'fila']","['cão', 'fila']",dog,Whose fila dog is this?
cadela,cadela,- Fiquei sem a cadela.,1317460,1320340,"('- Preferias estar dez horas no mar?',)","('Aquele filho da puta',)",4,"['Fiquei', 'cadela']","['Fiquei', 'cadela']",dog,I lost my dog.
filho,filho,"Aquele filho da puta, deu-me isto para te comprar um presente.",1321860,1325820,"('...',)","(' ',)",3,"['filho', 'puta', 'deu-me', 'comprar', 'presente']","['filho', 'puta', 'deu-me', 'comprar', 'presente']",son,That son of a bi*** gave me this to buy you a present.
puta,puta,Com a puta da cocaína que puseram hoje.,2607940,2610020,"('- Não podemos ir à Polícia, caralho!',)","(' ',)",5,"['puta', 'cocaína', 'puseram', 'hoje']","['puta', 'cocaína', 'puser', 'hoje']",cocaine,With the damn cocaine they put today.
café,café,e café sem esse veneno de ratos.,1504340,1506100,"('... pila dura',)","('Francesco,',)",4,"['café', 'veneno', 'ratos']","['café', 'veneno', 'rato']",coffee,And coffee without that rat poison.
apreensão,apreensão,É uma apreensão sem precedentes em São Miguel.,1654300,1657700,"(' ',)","(' ',)",4,"['apreensão', 'precedentes', 'Miguel']","['apreensão', 'precedente', 'Miguel']",apprehension,It is an unprecedented apprehension in Sao Miguel.
blica,Blica,A blica de coca.,1872300,1873300,"('Hã?',)","('No século XV, Espanha e Portugal dividiram o planeta em dois.',)",3,"['blica', 'coca']","['Blica', 'coca']",can,The can of coke.
