word,lemma,sentence,start_time,end_time,sentence_previous,sentence_next,occurrences,words,lemmas,word_translation,sentence_translation
cocaína,cocaína,"Pila de cocaína, sabes o que é?",1758580,1761900,Nunca viste o Jogos de Prazer?,Andas a cheirar essa merda e não consegues levantar a blica.,6,"['Pila', 'cocaína', 'sabes']","['pila', 'cocaína', 'Sabes']",cocaine,"A pile of cocaine, do you know what it is?"
caralho,caralho,"Calma lá, caralho.",1291180,1292900, ,Patrão...,14,"['Calma', 'caralho']","['calma', 'caralho']",damn,"Calm down, damn it."
gente,gente,E gente perigosa.,2260740,2262460,"Mais cedo ou mais tarde, vêm procurála.",Porque é que uns têm direito a tudo e outros não têm direito a nada?,4,"['gente', 'perigosa']","['gente', 'perigoso']",people,And people are dangerous.
daqui,de aqui,Desanda daqui para fora ou rebentote a boca!,1301820,1304260,"fodiate a boca toda, ó filho da puta!",Sai daqui!,4,"['Desanda', 'daqui', 'rebentote', 'boca']","['Desanda', 'de aqui', 'rebentote', 'boca']",from here,Get out of here or shut your mouth!
fila,fila,"Uma fila, queres tu dizer.",306180,308700,"Mas não é assim que funciona, há uma bicha.",Bom...,3,"['fila', 'queres']","['fila', 'quere']",line,"A line, you mean."
queres,quer,"Não queres, não queres, tu é que sabes.",1151860,1155220,"Ó Eduardo... Queres, queres.", ,3,"['queres', 'queres', 'sabes']","['quer', 'querer', 'sabe']",want,"You want, you want, it's up to you."
vou,ir,Não vou morrer afogado por causa da merda da cocaína!,993540,997940,Experimenta e vais parar ao mar!,"Se a droga vai parar ao mar, nós morreremos em terra!",3,"['vou', 'morrer', 'afogado', 'causa', 'merda', 'cocaína']","['ir', 'morrer', 'afogar', 'causa', 'merda', 'cocaína']",going,I'm not going to die drowned because of this shit cocaine!
costa,Costa,em vários pontos da costa norte de São Miguel,1589780,1593140,Dezenas de quilos de cocaína apareceram esta tarde,.,3,"['costa', 'norte', 'Miguel']","['Costa', 'norte', 'Miguel']",coast,in several points of the northern coast of São Miguel.
mundo,mundo,Em que mundo é que essa tua história acaba,2308740,2311180,Já te levaram ao cinema?,com um E viveram felizes para sempre?,4,"['mundo', 'história', 'acaba']","['mundo', 'história', 'acabar']",world,In which world does your story end?
pai,pai,O meu pai não vê um palmo à frente do nariz.,2412820,2415260,O meu pai...,"Fodase, nunca ninguém me deu nada na vida, caralho.",5,"['pai', 'vê', 'palmo', 'frente', 'nariz']","['pai', 'ver', 'palmo', 'frente', 'nariz']",father,My father can't see an inch in front of his nose.
operação,operação,A operação estava marcada para ontem.,440900,443140,Não são só uns números.,Mas na carta diz 5 de junho de 2001.,3,"['operação', 'marcada']","['operação', 'marcado']",Operation,The operation was scheduled for yesterday.
hoje,hoje,Mas na carta diz que é hoje.,447180,451420,"Pois, mas no sistema diz que era ontem.  ","Olhe, não sei.",3,"['carta', 'hoje']","['carta', 'hoje']",today,But the letter says it's today.
merda,merda,"Sabes que essa merda encolhe a blica, Carlinhos?",1751940,1754380,Mas está com o Rafael!,Hã?,10,"['Sabes', 'merda', 'encolhe', 'blica', 'Carlinhos']","['Sabes', 'merda', 'encolhe', 'Blica', 'Carlinhos']",crap,"You know that crap shrinks the blica, Carlinhos?"
parar,parar,Como veio aqui parar e de onde veio não interessa.,1801300,1805260,A corrente trouxea.,Interessa que está aqui!,4,"['veio', 'parar', 'veio', 'interessa']","['vir', 'parar', 'vir', 'interessar']",stop,How you got here and where you came from is not important.
droga,droga,"Se a droga vai parar ao mar, nós morreremos em terra!",997940,1001100,Não vou morrer afogado por causa da merda da cocaína!,"Estás a perceber, fodase?",4,"['droga', 'parar', 'mar', 'morreremos', 'terra']","['droga', 'parar', 'mar', 'morrer', 'terra']",drug,"If the drug ends up in the sea, we will die on land!"
algum,algum,Sou algum miúdo para me pores a mijar?,1632620,1636420, ,"Vá, está tudo bem.",3,"['algum', 'miúdo', 'pores', 'mijar']","['algum', 'miúdo', 'por', 'mijar']",any,Am I some little kid that you make me pee?
Rabo,Rabo,"Se Rabo de Peixe aparecia na televisão,",1368300,1370260,e só comiam as caudas com espinhas.,mostravamnos sempre como cidadãos de terceira categoria.,6,"['Rabo', 'Peixe', 'aparecia', 'televisão']","['Rabo', 'Peixe', 'aparecer', 'televisão']",tail,"If Rabo de Peixe appeared on television, they only ate the tails with bones."
contigo,contigo,estou a falar contigo.,2330900,2332820,"Sílvia,",Queres?,3,"['falar', 'contigo']","['falar', 'contigo']",with you,I'm speaking with you.
podemos,poder,"Não podemos ir à Polícia, caralho!",2604540,2607940,Dizemos que foi um acidente.  ,Com a puta da cocaína que puseram hoje.,3,"['podemos', 'Polícia', 'caralho']","['poder', 'Polícia', 'caralho']",can't,"We can't go to the police, damn it!"
sair,sair,Só vai sair depois de ser cruzada com um cão de fila.,1278100,1281660,"Ó Sr. Doutor, esta cadela não vai sair daqui.",Dêlhe a cadela.,3,"['sair', 'cruzada', 'cão', 'fila']","['sair', 'cruzar', 'cão', 'fila']",leave,She will only leave after being crossed with a fila dog.
Vamos,ir,Vamos dizer que matámos um turista italiano?,2620260,2623260,Vamos à Polícia.,Dizemos que foi um acidente.,4,"['Vamos', 'matámos', 'turista', 'italiano']","['ir', 'matár', 'turista', 'italiano']",Let's,Let's say we killed an Italian tourist?
cão,cão,Este cão de fila é de quem?,1253820,1256540,Coisinha tão bonita...,É minha a cadela.,3,"['cão', 'fila']","['cão', 'fila']",dog,Whose fila dog is this?
filho,filho,"Aquele filho da puta, deume isto para te comprar um presente.",1321860,1325820,..., ,3,"['filho', 'puta', 'deume', 'comprar', 'presente']","['filho', 'puta', 'deume', 'comprar', 'presente']",son,That son of a bitch gave me this to buy you a present.
puta,puta,Com a puta da cocaína que puseram hoje.,2607940,2610020,"Não podemos ir à Polícia, caralho!", ,5,"['puta', 'cocaína', 'puseram', 'hoje']","['puta', 'cocaína', 'puser', 'hoje']",cocaine,With the cocaine they put today.
café,café,e café sem esse veneno de ratos.,1504340,1506100,... pila dura,"Francesco,",4,"['café', 'veneno', 'ratos']","['café', 'veneno', 'rato']",coffee,And coffee without that rat poison.
apreensão,apreensão,É uma apreensão sem precedentes em São Miguel.,1654300,1657700, , ,4,"['apreensão', 'precedentes', 'Miguel']","['apreensão', 'precedente', 'Miguel']",apprehension,It is an unprecedented apprehension in Sao Miguel.
blica,Blica,A blica de coca.,1872300,1873300,Hã?,"No século XV, Espanha e Portugal dividiram o planeta em dois.",3,"['blica', 'coca']","['Blica', 'coca']",blica,The coca blica.
mãe,mãe,A minha mãe morreu.,2405020,2405980,Não volta a acontecer., ,4,"['mãe', 'morreu']","['mãe', 'morrer']",mother,My mother died.
vida,vida,Só acontece uma vez na vida.,2383500,2386780,Esta é a nossa oportunidade.,Uma.,4,"['acontece', 'vida']","['acontecer', 'vida']",life,It only happens once in life.
fizemos,fizemo,"O que fizemos para merecer esta sina, caralho?",2353660,2356540, ,A sorte nunca cai aqui nesta terra porquê?,3,"['fizemos', 'merecer', 'sina', 'caralho']","['fizemo', 'merecer', 'sina', 'caralho']",did,"What did we do to deserve this fate, damn it?"
vontade,vontade,"Isto também é a vontade de Deus, Rafael.",2366660,2368660,Isto também é a vontade de Deus.,Deus só nos castiga.,4,"['vontade', 'Deus', 'Rafael']","['vontade', 'Deus', 'Rafael']",will,"This is also God's will, Rafael."
gajo,gajo,Empurra o gajo.,2631380,2634540,Não!,"Temos de o tirar daqui, não percebes?",3,"['Empurra', 'gajo']","['Empurra', 'gajo']",dude/guy,Push the guy.
